"id","stud_no","firstname","middlename","lastname","level","type","address_blockno","address_street","address_brgy","address_city","address_zip","telephone","msisdn","email","groups","created_by","updated_by","removed_by","created_at","updated_at","removed_at"
"1","","John Lioneil","Palanas","Dionisio","2","2","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","092-350 0343","09235003433","john.dionisio1@gmail.com","1,4","1","1","","2016-07-01 19:50:30","2016-07-03 18:33:22",""
"2","","Antonette","Brouan","Menciano","2","3","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","092-350 0343","09235003433","antonette@gmail.com","6,4","1","1","","2016-07-01 19:57:50","2016-07-03 18:33:22",""
"3","","John Paul","Martha","Jones","3","4","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","Pasig City","3112","092-350 0343","09235003433","jpj@ledzep.com","2","1","1","","2016-07-01 20:02:56","2016-07-03 19:25:58",""
"4","","Robert","","Plant","2","5","","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","098-765 4321","09876543212","rp@ledzep.com","2","1","1","","2016-07-01 21:36:48","2016-07-03 19:25:58",""
"5","","Juan","Ponce","Enrile","3","3","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","099-876 5432","09876543356","jpe@senate.com.ph","3,5,6","1","","","2016-07-03 19:22:38","0000-00-00 00:00:00",""
"6","","Manny","Santiago","Villar","5","3","Block 15 Lot 27","Street cred","hola subd","Gotham City","6988","092-345 6789","09345678876","manny.santiago-villar@senate.com.ph","5,6,1,2","1","1","","2016-07-03 19:23:53","2016-07-03 19:25:58",""
"7","","Eunice","Almazar","Duque","2","5","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","098-765 4312","09876543123","eunice@gmail.com","1,2,3,4,5,6","1","1","","2016-07-03 19:27:03","2016-07-03 19:32:50",""
"8","","Nikki","Puki","Malacci","4","3","","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","034-567 8987","09256489876","bigppnikki@gmail.com","2,4,6","1","1","","2016-07-03 19:28:20","2016-07-03 19:32:50",""
"9","","Onse","Ponce","Dose","2","3","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","093-456 7765","09765234567","onsedose@katorse.com","4,6","1","1","","2016-07-03 19:29:16","2016-07-03 19:32:50",""
"10","","Super","Boy","Bob","1","1","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","023-456 7887","09787654323","superboybob@funnycomics.co","1","1","","","2016-07-03 19:29:58","0000-00-00 00:00:00",""
"11","","John","Lastimosa","dela Cruz","3","3","Block 15 Lot 27","Catleya Street","Roseville Heights Sto. Tomas","San Jose City","3112","092-345 6788","09765424567","johndelacruz@yahoo.com","4","1","1","","2016-07-03 19:30:42","2016-07-03 19:33:19",""
