"1","John Lioneil","Palanas","Dionisio","Level 2","Type 3","Block 15 Lot 27","Cattleya Street","Roseville Heights Subdivision","San Jose City","3112","092-350 0343","0(923) 500-3433","john.dionisio1@gmail.com","25"
"24","Lean ",,"Degaños","Level 1","Type 1",,"z","z","z",,,"1(245) 878-7787","lean@ssagroup.com","25"
"25","Aliudin","Macalawi","Macalawi","Level 2","Type 2",,"Block 15 Lot 27, Cattleya Street","Roseville Heights Subdivision","San Jose City","3112","092-350 0343","0(923) 500-3433","aliudin@ssagroup.com","25"
"26","Pauline","Quezon","Kuizon",,,,"zz","zz","zz",,,"0(212) 121-2121","pauline@ssagroup.com","25"
"27","Paola",,"Atienza","Level 1","Type 1",,"xz","z","zz","zz",,"4(545) 454-5454","paola@ssagroup.com","25"
"28","Chad",,"Aranzaso",,,,"zz","xz","zxzx","x","78","8(778) 787-8787","chad@ssagroup.com","25"
"29","Anna Kristina",,"Castillo","Level 1","Type 2",,"z","z","z","z",,"7(788) 989-9898","ak@ssagroup.com","25"
"30","Jeff",,"Puri",,,,,,,,,,"jeff@ssagroup.com","25"
"31","Mai",,"Dones",,,,,,,,,,"mai@ssagroup.com","25"
"32","Graziela",,"Gracesurname",,,,"asd","asdad","sadasd",,,"2(121) 212-1212","grace@ssagroup.com","33"
"34","Janine","Lazarus","Jimenez","Level 1","Type 2","1234","7854 St.","Subdivision Homes","Towney CIty","7772","0132645987","0132654789","janine@ssagroup.com","7"
"35","Dionalyn",,"Biray","Level 2","Type 1","Block 15 Lot 27","Cattleya Street","Roseville Heights Subdivision","San Jose City","3112","092-350 0343","0(923) 500-3433","dionalyn@ssagroup.com","3"
"36","Annalyn",,"Diones","Level 3","Type 3","Block 15 Lot 27","Cattleya Street","Roseville Heights Subdivision","San Jose City","3112","09235003433","0(923) 500-3433","annalyn@ssagroup.com","1"
"37","Carmina","Villaruel","Legazpi","Level 2","Type 2","Block 15 Lot 27","Cattleya Street","Roseville Heights Subdivision","San Jose City","3112","012-345 6987","7(896) 541-2300","carmina@ssagroup.com","1"
"38","Ferdie","Nand","Santiago","Level 3","Type 3","Block 15 Lot 27","Cattleya Street","Roseville Heights Subdivision","San Jose City","3112","092-350 0343","0(923) 500-3433","ferdie@ssagroup.com","1"
